,Unnamed: 0,num_procs,tensor_par,pipeline_par,data_par,tensor_par_net,pipeline_par_net,data_par_net,batch_size,microbatch_size,datatype,fused_activation,attention_type,activation_recompute,pipeline_interleaving,optimizer_sharding,tensor_par_comm_type,tensor_par_overlap,seq_par_ag_redo,data_par_overlap,weight_offload,activations_offload,optimizer_offload,training,gpu,block_fw_flops,block_fw_flops_time,block_fw_mem_accessed,block_fw_mem_time,block_fw_time,baseblock_fw_tp_time,edgeblock_fw_tp_time,baseblock_fw_tp_time_exposed,edgeblock_fw_tp_time_exposed,block_re_flops,block_re_flops_time,block_re_mem_accessed,block_re_mem_time,block_re_time,baseblock_recomm_time,edgeblock_recomm_time,baseblock_recomm_time_exposed,edgeblock_recomm_time_exposed,block_agrad_flops,block_agrad_flops_time,block_agrad_mem_accessed,block_agrad_mem_time,block_agrad_time,baseblock_agrad_tp_time,edgeblock_agrad_tp_time,baseblock_agrad_tp_time_exposed,edgeblock_agrad_tp_time_exposed,block_wgrad_flops,block_wgrad_flops_time,block_wgrad_mem_accessed,block_wgrad_mem_time,block_wgrad_time,block_optim_flops,block_optim_flops_time,block_optim_mem_accessed,block_optim_mem_time,block_optim_time,baseblock_fw_tp_size,edgeblock_fw_tp_size,baseblock_bw_tp_size,edgeblock_bw_tp_size,baseblock_recomm_size,edgeblock_recomm_size,block_fw_pp_size,block_bw_pp_size,block_dp_size,tp_bw_overlap_req,dp_bw_overlap_req_chunk,dp_bw_overlap_req_tail,block_weight_space,block_act_working_space,block_act_storage_space,block_act_checkpoint_size,block_weight_grad_space,block_weight_grad_space_no_sharding,block_act_grad_space,block_optimizer_space,weight_space_with_offload,act_space_with_offload,act_checkpoint_size_with_offload,act_grad_space_with_offload,weight_grad_space_with_offload,optimizer_space_with_offload,weight_space,act_space,act_checkpoint_size,act_grad_space,weight_grad_space,optimizer_space,fw_time,bw_time,optim_step_time,recompute_time,recomm_link_time,recomm_exposed_time,bubble_time,tp_comm_link_time,pp_comm_link_time,dp_comm_link_time,tp_comm_exposed_time,pp_comm_exposed_time,dp_comm_exposed_time,fw_offload_exposed_time,bw_offload_exposed_time,total_time,act_offload_bw_req,weight_offload_bw_req,optim_offload_bw_req,offload_mem_bw_req,proc_mem_tier1_cap_req,proc_mem_tier2_cap_req,useful_flops,compute_efficiency,system_efficiency,total_efficiency,sample_rate,device
0,0,1024,4,8,32,0,0,1,256,1,float16,True,multihead,none,16,False,rs_ag,none,False,False,False,False,False,False,True,8162230927360.0,0.0266840849071741,8603770880.0,0.004433402325958,0.0306762494146823,0.0029010311700403,0.0029010311700403,0.0029010311700403,0.0029010311700403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419430400,419430400,0,0,0,0,26214400,0,0,0,0,0,3932364800,1441792000.0,1913651200.0,0,0,0,0,0,7864729600,3355443200.0,,0,0,0,62917836800,1441792000.0,0,0,0,0,3.9265599250793457,0,0,0,0,0,0.2361219972372055,0.3713319897651672,0.018487401025641,0,0.3713319897651672,0.018487401025641,0,0.0,0,4.552501678466797,65662201856.0,134929358848.0,0,0.0,64359628800.0,0,8162230927360.0,0.8528094291687012,0.8625059723854065,0.7355532050132751,56.232818603515625,gpu
1,0,128,2,16,4,0,0,0,256,2,float16,True,multihead,none,8,False,ar,none,False,False,False,False,False,False,True,32649867427840.0,0.1062020659446716,24348139520.0,0.0125144617632031,0.1182719320058822,0.0026155263185501,0.0026155263185501,0.0026155263185501,0.0026155263185501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419430400,419430400,0,0,0,0,209715200,0,0,0,0,0,7864524800,5662310400.0,7549747200.0,0,0,0,0,0,15729049600,13212057600.0,,0,0,0,62916198400,5662310400.0,0,0,0,0,30.27761459350586,0,0,0,0,0,1.82974374294281,0.6695747375488281,0.2778784164102564,0,0.6695747375488281,0.2778784164102564,0,0.0,0,33.0548095703125,69664473088.0,72569044992.0,0,0.0,68578508800.0,0,32649867427840.0,0.8847999572753906,0.9159821271896362,0.8104609847068787,7.744712829589844,gpu
2,0,2048,8,4,64,0,0,1,256,1,float16,True,multihead,none,32,False,rs_ag,none,False,False,False,False,False,False,True,4081167892480.0,0.013348763808608,5035991040.0,0.0025940197519958,0.0154998647049069,0.0033060102723538,0.0033060102723538,0.0033060102723538,0.0033060102723538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419430400,419430400,0,0,0,0,13107200,0,0,0,0,0,1966284800,825753600.0,1218969600.0,0,0,0,0,0,3932569600,2044723200.0,,0,0,0,62921113600,825753600.0,0,0,0,0,1.9839826822280884,0,0,0,0,0,0.0566792711615562,0.4231693148612976,0.0098837005128205,0,0.4231693148612976,0.0098837005128205,0,0.0,0,2.47371506690979,75190018048.0,121286852608.0,0,0.0,63746867200.0,0,4081167892480.0,0.8439213037490845,0.802025556564331,0.676846444606781,103.48806762695312,gpu
3,0,256,2,16,8,0,0,1,256,1,float16,True,multihead,none,8,False,ar,none,False,False,False,False,False,False,True,16324933713920.0,0.0532565936446189,16106332160.0,0.0082783363759517,0.0613126270473003,0.0013177632354199,0.0013177632354199,0.0013177632354199,0.0013177632354199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209715200,209715200,0,0,0,0,104857600,0,0,0,0,0,7864524800,2831155200.0,3774873600.0,0,0,0,0,0,15729049600,6606028800.0,,0,0,0,62916198400,2831155200.0,0,0,0,0,15.696032524108888,0,0,0,0,0,0.9478217959403992,0.3373473882675171,0.1402192082051282,0,0.3373473882675171,0.1402192082051282,0,0.0,0,17.12141990661621,69452267520.0,144695984128.0,0,0.0,65747353600.0,0,16324933713920.0,0.8533886671066284,0.9167482852935792,0.7823426127433777,14.952031135559082,gpu
4,0,4096,16,2,128,0,0,1,256,1,float16,True,multihead,none,32,False,ar,none,False,False,False,False,False,False,True,2041717719040.0,0.0068675363436341,4307230720.0,0.0022208676673471,0.008860221132636,0.0022646742872893,0.0022646742872893,0.0022646742872893,0.0022646742872893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209715200,209715200,0,0,0,0,104857600,0,0,0,0,0,983244800,996147200.0,1939865600.0,0,0,0,0,0,1966489600,2936012800.0,,0,0,0,62927667200,996147200.0,0,0,0,0,1.134108304977417,0,0,0,0,0,0.0228075236082077,0.2898783087730407,0.035054802051282,0,0.2898783087730407,0.035054802051282,0,0.0,0,1.4818488359451294,217863815168.0,110426963968.0,0,0.0,63923814400.0,0,2041717719040.0,0.7385782599449158,0.765333354473114,0.5652585625648499,172.7571563720703,gpu
5,0,512,4,8,16,0,0,1,256,2,float16,True,multihead,none,16,False,rs_ag,none,False,False,False,False,False,False,True,16324461854720.0,0.0531960986554622,13275176960.0,0.0068231783807277,0.0591367967426776,0.0057620625011622,0.0057620625011622,0.0057620625011622,0.0057620625011622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838860800,838860800,0,0,0,0,52428800,0,0,0,0,0,3932364800,2883584000.0,3827302400.0,0,0,0,0,0,7864729600,6710886400.0,,0,0,0,62917836800,2883584000.0,0,0,0,0,7.569509983062744,0,0,0,0,0,0.4563140571117401,0.7375440001487732,0.035694802051282,0,0.7375440001487732,0.035694802051282,0,0.0,0,8.799062728881836,65901981696.0,67711045632.0,0,0.0,65801420800.0,0,16324461854720.0,0.8847619891166687,0.8602632284164429,0.7611281871795654,29.09400749206543,gpu
6,0,64,2,16,2,0,0,0,256,2,float16,True,multihead,none,8,False,ar,none,False,False,False,False,False,False,True,32649867427840.0,0.1062020659446716,24348139520.0,0.0125144617632031,0.1182719320058822,0.0026155263185501,0.0026155263185501,0.0026155263185501,0.0026155263185501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419430400,419430400,0,0,0,0,209715200,0,0,0,0,0,7864524800,5662310400.0,7549747200.0,0,0,0,0,0,15729049600,13212057600.0,,0,0,0,62916198400,5662310400.0,0,0,0,0,60.55522918701172,0,0,0,0,0,1.82974374294281,1.3391494750976562,0.5557568328205128,0,1.3391494750976562,0.5557568328205128,0,0.0,0,64.27987670898438,69664473088.0,72569044992.0,0,0.0,68578508800.0,0,32649867427840.0,0.8847999572753906,0.9420557618141174,0.8335309624671936,3.98258376121521,gpu
7,0,8192,32,1,256,0,0,1,256,1,float16,True,multihead,none,1,False,ar,none,False,False,False,False,False,False,True,1021488005120.0,0.0036230601835995,3464437760.0,0.0017865661066025,0.0051810243166983,0.0023323108907788,0.0023323108907788,0.0023323108907788,0.0023323108907788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209715200,209715200,0,0,0,0,0,0,0,0,0,0,491724800,865075200.0,1808793600.0,0,0,0,0,0,983449600,2673868800.0,,0,0,0,62940774400,865075200.0,0,0,0,0,0.663171112537384,0,0,0,0,0,0.0,0.2985357940196991,0.0,0,0.2985357940196991,0.0,0,0.0,0,0.9617068767547609,315848916992.0,85864267776.0,0,0.0,63805849600.0,0,1021488005120.0,0.6319213509559631,0.6895771622657776,0.4357585310935974,266.1933898925781,gpu
8,0,1024,4,8,32,0,0,1,256,1,float16,True,multihead,none,16,False,rs_ag,none,False,False,False,False,False,False,False,8162230927360.0,0.0003108800738118,8603770880.0,0.004433402325958,0.0003108800738118,0.0029010311700403,0.0029010311700403,0.0029010311700403,0.0029010311700403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419430400,419430400,0,0,0,0,26214400,0,0,0,0,0,3932364800,1441792000.0,1913651200.0,0,0,0,0,0,7864729600,3355443200.0,,0,0,0,62917836800,1441792000.0,0,0,0,0,0.0397926494479179,0,0,0,0,0,0.031103815883398,0.3713319897651672,0.018487401025641,0,0.3713319897651672,0.018487401025641,0,0.1378634572029113,0,0.5985793471336365,-1566651842560.0,-3219315228672.0,0,-0.0,64359628800.0,0,8162230927360.0,84.15140533447266,0.0664784908294677,5.594257831573486,427.6793212890625,sc
9,0,128,2,16,4,0,0,0,256,4,float16,True,multihead,none,8,False,rs_ag,none,False,False,False,False,False,False,False,65297427988480.0,0.0007141645764932,39363747840.0,0.0202321894466877,0.0007141645764932,0.0082442937418818,0.0082442937418818,0.0082442937418818,0.0082442937418818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677721600,1677721600,0,0,0,0,209715200,0,0,0,0,0,7864524800,10695475200.0,13212057600.0,0,0,0,0,0,15729049600,23907532800.0,,0,0,0,62916198400,10695475200.0,0,0,0,0,0.09141306579113,0,0,0,0,0,0.3036328554153442,1.0552695989608765,0.1389392082051282,0,1.0552695989608765,0.1389392082051282,0,1.30409836769104,0,2.89335298538208,-1171932971008.0,-697597296640.0,0,-0.0,73611673600.0,0,65297427988480.0,293.05096435546875,0.0315941646695137,9.258699417114258,88.4786605834961,sc
10,0,128,4,8,4,0,0,0,32,1,float16,True,multihead,none,16,False,rs_ag,none,False,False,False,False,False,False,False,8162230927360.0,0.0003108800738118,8603770880.0,0.004433402325958,0.0003108800738118,0.0029010311700403,0.0029010311700403,0.0029010311700403,0.0029010311700403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419430400,419430400,0,0,0,0,26214400,0,0,0,0,0,3932364800,1441792000.0,1913651200.0,0,0,0,0,0,7864729600,3355443200.0,,0,0,0,62917836800,1441792000.0,0,0,0,0,0.0397926494479179,0,0,0,0,0,0.031103815883398,0.3713319897651672,0.018487401025641,0,0.3713319897651672,0.018487401025641,0,0.1378634572029113,0,0.5985793471336365,-1566651842560.0,-3219315228672.0,0,-0.0,64359628800.0,0,8162230927360.0,84.15140533447266,0.0664784908294677,5.594257831573486,53.45991516113281,sc
11,0,2048,8,4,64,0,0,1,256,1,float16,True,multihead,none,32,False,ar,none,False,False,False,False,False,False,False,4082177146880.0,0.0003140533226542,5992816640.0,0.0030801892280578,0.0003140533226542,0.0021294013131409,0.0021294013131409,0.0021294013131409,0.0021294013131409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209715200,209715200,0,0,0,0,104857600,0,0,0,0,0,1966284800,1258291200.0,2202009600.0,0,0,0,0,0,3932569600,3460300800.0,,0,0,0,62921113600,1258291200.0,0,0,0,0,0.0401988252997398,0,0,0,0,0,0.009270567446947,0.2725633680820465,0.0701096041025641,0,0.2725633680820465,0.0701096041025641,0,0.0113924145698547,0,0.4035347700119018,-3458285174784.0,-3088076242944.0,0,-0.0,64179404800.0,0,4082177146880.0,41.66139602661133,0.0996167585253715,4.150173187255859,634.3939208984375,sc
12,0,256,4,8,8,0,0,1,256,4,float16,True,multihead,none,16,False,rs_ag,none,False,False,False,False,False,False,False,32648923709440.0,0.0004842984490096,22617989120.0,0.0116251986473798,0.0004842984490096,0.0114841246977448,0.0114841246977448,0.0114841246977448,0.0114841246977448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677721600,1677721600,0,0,0,0,104857600,0,0,0,0,0,3932364800,5767168000.0,7654604800.0,0,0,0,0,0,7864729600,13421772800.0,,0,0,0,62917836800,5767168000.0,0,0,0,0,0.061990201473236,0,0,0,0,0,0.0876830741763114,1.4699679613113403,0.0701096041025641,0,1.4699679613113403,0.0701096041025641,0,0.0,0,1.689750909805298,22302064377856.0,11457136689152.0,0,0.0,68685004800.0,0,32648923709440.0,216.0733337402344,0.0366859994828701,7.926866054534912,151.50161743164062,sc
13,0,4096,16,2,128,0,0,1,256,1,float16,True,multihead,none,16,False,ar,none,False,False,False,False,False,False,False,2041717719040.0,0.0002691863628569,4307230720.0,0.0022208676673471,0.0002691863628569,0.0022646742872893,0.0022646742872893,0.0022646742872893,0.0022646742872893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209715200,209715200,0,0,0,0,104857600,0,0,0,0,0,983244800,996147200.0,1939865600.0,0,0,0,0,0,1966489600,2936012800.0,,0,0,0,62927667200,996147200.0,0,0,0,0,0.0344558544456958,0,0,0,0,0,0.0106931738555431,0.2898783087730407,0.017527401025641,0,0.2898783087730407,0.017527401025641,0,0.0,0,0.3525547385215759,6197790900224.0,3141426741248.0,0,0.0,63923814400.0,0,2041717719040.0,24.31017303466797,0.0977319255471229,2.375880002975464,726.1283569335938,sc
14,0,512,4,8,16,0,0,1,256,2,float16,True,multihead,none,16,False,rs_ag,none,False,False,False,False,False,False,False,16324461854720.0,0.0003686862473841,13275176960.0,0.0068231783807277,0.0003686862473841,0.0057620625011622,0.0057620625011622,0.0057620625011622,0.0057620625011622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838860800,838860800,0,0,0,0,52428800,0,0,0,0,0,3932364800,2883584000.0,3827302400.0,0,0,0,0,0,7864729600,6710886400.0,,0,0,0,62917836800,2883584000.0,0,0,0,0,0.0471918396651744,0,0,0,0,0,0.0478322505950927,0.7375440001487732,0.035694802051282,0,0.7375440001487732,0.035694802051282,0,0.0529361963272094,0,0.9211990833282472,-5527353425920.0,-5679083421696.0,0,-0.0,65801420800.0,0,16324461854720.0,141.9146728515625,0.0512287095189094,7.270105361938477,277.898681640625,sc
15,0,64,2,16,2,0,0,0,256,8,float16,True,multihead,none,8,False,rs_ag,none,False,False,False,False,False,False,False,130594855976960.0,0.000942162645515,70862970880.0,0.0364221669733524,0.000942162645515,0.0164485871791839,0.0164485871791839,0.0164485871791839,0.0164485871791839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3355443200,3355443200,0,0,0,0,419430400,0,0,0,0,0,7864524800,21390950400.0,26424115200.0,0,0,0,0,0,15729049600,47815065600.0,,0,0,0,62916198400,21390950400.0,0,0,0,0,0.1205968186259269,0,0,0,0,0,0.546482503414154,2.105419158935547,0.2765984164102564,0,2.105419158935547,0.2765984164102564,0,2.159422874450684,0,5.20851993560791,-1388447137792.0,-413239083008.0,0,-0.0,84307148800.0,0,130594855976960.0,444.2685546875,0.0231537595391273,10.286487579345703,49.150238037109375,sc
16,0,8192,16,2,256,0,0,1,256,1,float16,True,multihead,none,1,False,ar,none,False,False,False,False,False,False,False,2041717719040.0,0.0002691863628569,4307230720.0,0.0022208676673471,0.0002691863628569,0.0022646742872893,0.0022646742872893,0.0022646742872893,0.0022646742872893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209715200,209715200,0,0,0,0,104857600,0,0,0,0,0,983244800,996147200.0,1939865600.0,0,0,0,0,0,1966489600,2936012800.0,,0,0,0,62927667200,996147200.0,0,0,0,0,0.0172279272228479,0,0,0,0,0,0.1627248078584671,0.1449391543865203,0.0005477312820512,0,0.1449391543865203,0.0005477312820512,0,0.0,0,0.3254396319389343,6197790900224.0,3141426741248.0,0,0.0,63923814400.0,0,2041717719040.0,24.31017303466797,0.0529373958706855,1.2869173288345337,786.6282348632812,sc
